Stage Name,Size,Type,Fuselage Diameter/width (m),Height/length (m),Dry Mass (kg),Thrust (kN),Fuel Mass (kg),Specific Impulse (s),Notes
None,None,None,0,0,0,0,0,0,No stage
2nd Stage,Extra-small,Solid-fuel rocket,1.3,17,2000,480,15000,280,Based on Pegasus (http://www.astronautix.com/engines/pegasus1.htm)
2nd Stage,Small,Solid-fuel rocket,2,14,3000,870,24000,290,Based on Vega 2nd stage (https://en.wikipedia.org/wiki/Vega_(rocket))
2nd Stage,Medium,Liquid-fuel rocket,3,7,2400,300,25000,360,Based on Soyuz 2nd stage (https://en.wikipedia.org/wiki/Soyuz_(rocket_family)#First_stage)
2nd Stage,Large,Liquid-fuel rocket,3.5,15,4000,800,90000,340,Based on Falcon 9 2nd stage (http://www.spaceflight101.com/falcon-9-v11.html)
2nd Stage,Extra-large,Liquid-fuel rocket,8,15,6000,400,129000,460,Based on SLS (https://en.wikipedia.org/wiki/Space_Launch_System)
2nd Stage,XXL,Liquid-fuel rocket,10,25,40000,4400,450000,421,Based on Saturn V 2nd stage (https://en.wikipedia.org/wiki/Saturn_V(
